Year,Water content measured (ppm),Total Acid Number (mgKOH/ g),"BreakdownVoltage (kV)",Dissipation Factor ,Colour,Interfacial Tension (mN/m),Class
2001,5,0.005,59,0.004,1,39,G
2007,3,0.005,84,0.047,0,39,G
2007,1,0.005,83,0.016,0,39,G
2007,10,0.005,58,0.001,0,39,G
2008,2,0.005,83,0.02,0,39,G
2008,5,0.005,63,0.002,0,39,G
2009,5,0.005,94,0.003,0,39,G
2009,10,0.005,37,0.004,0,39,G
2006,2,0.015,88,0.002,0,39,G
2006,3,0.005,87.2,0.001,0,39,G
2008,5,0.005,50,0,0,40,G
2008,6,0.005,51,0,0,40,G
2008,1,0.005,76,0.003,0,40,G
2009,3,0.005,78,0.002,0,40,G
2009,7,0.005,51,0.004,0,40,G
2006,2,0.012,58,0.001,0,40,G
2010,5,0.005,64,0.003,0,40,G
2006,3,0.005,86,0.008,0,40,G
2008,3,0.005,53,0.002,0,40,G
2009,4,0.005,95,0.007,0,40,G
2009,3,0.005,84,0.004,0,40,G
2009,1,0.005,84,0.007,0,40,G
2009,2,0.005,68,0.003,0,40,G
2008,2,0.005,62,0.002,0,40,G
2009,8,0.005,78.9,0.004,0,40,G
2005,1,0.005,75,0.003,1,40,G
2007,5,0.005,76,0.001,0,40,G
2008,3,0.005,86,0.002,0,40,G
2008,9,0.005,79,0.004,0,40,G
2008,4,0.005,72,0.003,0,40,G
1976,3,0.005,51,0.008,1,40,G
2009,6,0.011,90.2,0.003,0,40,G
2008,9,0.005,51,0.001,0,40,G
2006,1,0.005,80,0.006,0,40,G
2006,1,0.005,84.4,0.002,0,40,G
1976,6,0.005,66,0.005,1,41,G
2009,6,0.005,90.7,0.003,0,41,G
2009,4,0.005,66,0.003,0,41,G
2009,6,0.005,55,0.004,0,41,G
2006,4,0.005,85,0.001,0,41,G
2010,5,0.005,55,0.003,0,41,G
2010,2,0.005,78,0.002,0,41,G
2006,1,0.005,90,0.002,0,41,G
2006,6,0.005,76,0.001,0,41,G
2006,5,0.005,70,0.001,0,41,G
2008,6,0.005,71,0.003,0,41,G
2008,9,0.012,52,0.004,0,41,G
2009,7,0.005,83,0.002,0,41,G
2009,3,0.005,82,0.013,0,41,G
2009,1,0.005,87,0.009,0,41,G
2010,2,0.015,79.7,0.001,0,41,G
2008,1,0.005,51,0.003,0,41,G
2008,3,0.005,76,0.002,0,41,G
2009,3,0.005,74,0.004,0,41,G
2009,17,0.005,87,0.002,0,41,G
2008,2,0.005,93.4,0.003,0,41,G
2009,1,0.005,68,0.001,0,41,G
2009,3,0.005,70,0.001,0,41,G
2006,5,0.005,95.5,0.001,0,41,G
2006,4,0.005,88,0.001,0,41,G
2006,6,0.005,79,0.001,0,41,G
2006,5,0.005,60,0.002,0,41,G
2006,2,0.005,96,0.001,0,41,G
2010,4,0.005,79,0.001,0,42,G
2010,3,0.005,74,0.002,0,42,G
2010,2,0.005,65,0.001,0,42,G
2009,4,0.005,86,0.004,0,42,G
2010,8,0.005,68,0.002,0,42,G
2010,6,0.005,54,0.001,0,42,G
1976,1,0.005,77,0.005,1,42,G
2008,4,0.005,59,0.001,0,42,G
2006,3,0.005,61,0.002,0,42,G
2006,2,0.005,91.6,0.002,0,42,G
2006,9,0.005,54,0.003,0,42,G
2006,2,0.005,87,0.001,0,42,G
2006,3,0.005,99,0.001,0,42,G
2006,2,0.005,92.3,0.002,0,42,G
2009,3,0.005,77,0.002,0,43,G
2006,6,0.005,67,0.001,0,43,G
2006,2,0.005,90.3,0.003,0,43,G
2006,3,0.005,78,0.003,0,43,G
2006,2,0.005,84,0.001,0,43,G
